Entity,Code,Year,Transport emissions per kilometer travelled
Bus (average),1,2022,96.5
Bus (local London),2,2022,79.36
Coach (bus),3,2022,27.330000000000002
Diesel car,4,2022,170.82
Domestic flight,5,2022,245.87
Electric car,6,2022,47.09
Eurostar (to Paris),7,2022,4.460000000000001
Ferry (foot passenger),8,2022,18.74
London Underground,9,2022,27.810000000000002
Long-haul flight,10,2022,147.87
Motorbike,11,2022,113.55
National rail,12,2022,35.49
Petrol car,13,2022,170.48
Plug-in hybrid,14,2022,68.4
Short-haul flight,15,2022,151.01999999999998
Tram,16,2022,28.61
